#;Código DIVIPOLA;DEPARTMENT;Municipality;TOTAL;Urban Area ;Rural Area
121;5885;Antioquia;Yalí;7608;3587;4021
122;5887;Antioquia;Yarumal;41542;29049;12493
123;5890;Antioquia;Yolombó;22538;6768;15770
124;5893;Antioquia;Yondó;19040;9640;9400
125;5895;Antioquia;Zaragoza;24651;11173;13478
126;8001;Atlántico;Barranquilla;1206319;1205284;1035
127;8078;Atlántico;Baranoa;62382;51730;10652
128;8137;Atlántico;Campo de La Cruz;22879;19961;2918
129;8141;Atlántico;Candelaria;15982;11461;4521
130;8296;Atlántico;Galapa;60708;56167;4541
131;8372;Atlántico;Juan de Acosta;20999;13095;7904
132;8421;Atlántico;Luruaco;28175;14251;13924
133;8433;Atlántico;Malambo;128203;119878;8325
134;8436;Atlántico;Manatí;19808;17499;2309
135;8520;Atlántico;Palmar de Varela;28932;27728;1204
136;8549;Atlántico;Piojó;6608;2812;3796
137;8558;Atlántico;Polonuevo;18197;15111;3086
138;8560;Atlántico;Ponedera;23848;13652;10196
139;8573;Atlántico;Puerto Colombia;49264;42803;6461
140;8606;Atlántico;Repelón;26200;17608;8592
141;8634;Atlántico;Sabanagrande;32334;30739;1595
142;8638;Atlántico;Sabanalarga;93261;69230;24031
143;8675;Atlántico;Santa Lucía;16023;13676;2347
144;8685;Atlántico;Santo Tomás;29829;28095;1734
145;8758;Atlántico;Soledad;603999;602644;1355
146;8770;Atlántico;Suan;11940;11239;701
147;8832;Atlántico;Tubará;17377;8774;8603
148;8849;Atlántico;Usiacurí;12250;11394;856
149;11001;Bogotá, DC;Bogotá, DC;7412566;7387400;25166
150;13001;Bolívar;Cartagena;973045;876885;96160
151;13006;Bolívar;Achí;24352;5648;18704
152;13030;Bolívar;Altos del Rosario;10972;4001;6971
153;13042;Bolívar;Arenal;7365;4496;2869
154;13052;Bolívar;Arjona;69503;55134;14369
155;13062;Bolívar;Arroyohondo;8254;4719;3535
156;13074;Bolívar;Barranco de Loba;14836;5722;9114
157;13140;Bolívar;Calamar;22474;12718;9756
158;13160;Bolívar;Cantagallo;8234;4520;3714
159;13188;Bolívar;Cicuco;13442;8758;4684
160;13212;Bolívar;Córdoba;15960;4206;11754
161;13222;Bolívar;Clemencia;14511;12169;2342
162;13244;Bolívar;El Carmen de Bolívar;70131;50844;19287
163;13248;Bolívar;El Guamo;8647;4748;3899
164;13268;Bolívar;El Peñón;7651;2886;4765
165;13300;Bolívar;Hatillo de Loba;12317;3166;9151
166;13430;Bolívar;Magangué;133270;92316;40954
167;13433;Bolívar;Mahates;27692;10402;17290
168;13440;Bolívar;Margarita;10673;1860;8813
169;13442;Bolívar;María La Baja;46112;20451;25661
170;13458;Bolívar;Montecristo;16389;4076;12313
171;13468;Bolívar;Mompós;44442;23090;21352
172;13473;Bolívar;Morales;22259;7293;14966
173;13490;Bolívar;Norosí;9212;2314;6898
174;13549;Bolívar;Pinillos;24218;3718;20500
175;13580;Bolívar;Regidor;6723;4223;2500
176;13600;Bolívar;Río Viejo ;10598;5071;5527
177;13620;Bolívar;San Cristóbal;8054;6221;1833
178;13647;Bolívar;San Estanislao;18251;12528;5723
179;13650;Bolívar;San Fernando;12536;2147;10389
180;13654;Bolívar;San Jacinto;23913;20711;3202
181;13655;Bolívar;San Jacinto del Cauca;9935;2566;7369
182;13657;Bolívar;San Juan Nepomuceno;36874;27379;9495
183;13667;Bolívar;San Martín de Loba;14774;7051;7723
184;13670;Bolívar;San Pablo;27190;20829;6361
185;13673;Bolívar;Santa Catalina;14563;5666;8897
186;13683;Bolívar;Santa Rosa;20963;19356;1607
187;13688;Bolívar;Santa Rosa del Sur;32646;19214;13432
188;13744;Bolívar;Simití;18110;6063;12047
189;13760;Bolívar;Soplaviento;10650;10455;195
190;13780;Bolívar;Talaigua Nuevo;13108;6278;6830
191;13810;Bolívar;Tiquisio;18035;6167;11868
192;13836;Bolívar;Turbaco;105166;97294;7872
193;13838;Bolívar;Turbaná;16403;12428;3975
194;13873;Bolívar;Villanueva;23777;20769;3008
195;13894;Bolívar;Zambrano;11880;10507;1373
196;15001;Boyacá;Tunja;172548;163894;8654
197;15022;Boyacá;Almeida;1910;321;1589
198;15047;Boyacá;Aquitania;15377;5777;9600
199;15051;Boyacá;Arcabuco;5831;2378;3453
200;15087;Boyacá;Belén;7481;4495;2986
201;15090;Boyacá;Berbeo;1596;406;1190
202;15092;Boyacá;Betéitiva;1963;327;1636
203;15097;Boyacá;Boavita;5059;2305;2754
204;15104;Boyacá;Boyacá;5089;761;4328
205;15106;Boyacá;Briceño;2198;487;1711
206;15109;Boyacá;Buenavista;4409;757;3652
207;15114;Boyacá;Busbanzá;1118;432;686
208;15131;Boyacá;Caldas;3143;245;2898
209;15135;Boyacá;Campohermoso;3121;767;2354
