#;Código DIVIPOLA;DEPARTMENT;Municipality;TOTAL;Urban Area ;Rural Area
528;25572;Cundinamarca;Puerto Salgar;15453;11082;4371
529;25580;Cundinamarca;Pulí;3327;679;2648
530;25592;Cundinamarca;Quebradanegra;4724;426;4298
531;25594;Cundinamarca;Quetame;5072;1358;3714
532;25596;Cundinamarca;Quipile;6291;656;5635
533;25599;Cundinamarca;Apulo;8192;3539;4653
534;25612;Cundinamarca;Ricaurte;12881;6867;6014
535;25645;Cundinamarca;San Antonio del Tequendama;11870;907;10963
536;25649;Cundinamarca;San Bernardo;8487;3488;4999
537;25653;Cundinamarca;San Cayetano;4846;601;4245
538;25658;Cundinamarca;San Francisco;10755;4384;6371
539;25662;Cundinamarca;San Juan de Río Seco;8181;2986;5195
540;25718;Cundinamarca;Sasaima;10711;2555;8156
541;25736;Cundinamarca;Sesquilé;11423;3425;7998
542;25740;Cundinamarca;Sibaté;33491;23644;9847
543;25743;Cundinamarca;Silvania;21625;6881;14744
544;25745;Cundinamarca;Simijaca;12847;7407;5440
545;25754;Cundinamarca;Soacha;660179;655025;5154
546;25758;Cundinamarca;Sopó;25782;17435;8347
547;25769;Cundinamarca;Subachoque;15690;7250;8440
548;25772;Cundinamarca;Suesca;17021;7443;9578
549;25777;Cundinamarca;Supatá;5203;1638;3565
550;25779;Cundinamarca;Susa;6454;2175;4279
551;25781;Cundinamarca;Sutatausa;5887;1885;4002
552;25785;Cundinamarca;Tabio;21665;6317;15348
553;25793;Cundinamarca;Tausa;8067;1370;6697
554;25797;Cundinamarca;Tena;9567;596;8971
555;25799;Cundinamarca;Tenjo;21935;8624;13311
556;25805;Cundinamarca;Tibacuy;4335;549;3786
557;25807;Cundinamarca;Tibirita;3158;520;2638
558;25815;Cundinamarca;Tocaima;15735;9589;6146
559;25817;Cundinamarca;Tocancipá;39996;15355;24641
560;25823;Cundinamarca;Topaipí;4139;674;3465
561;25839;Cundinamarca;Ubalá;7717;1432;6285
562;25841;Cundinamarca;Ubaque;6727;1094;5633
563;25843;Cundinamarca;Villa de San Diego de Ubate;42558;31042;11516
564;25845;Cundinamarca;Une;6945;3618;3327
565;25851;Cundinamarca;Útica;4246;2406;1840
566;25862;Cundinamarca;Vergara;6847;1213;5634
567;25867;Cundinamarca;Vianí;4339;1449;2890
568;25871;Cundinamarca;Villagómez;1758;610;1148
569;25873;Cundinamarca;Villapinzón;17187;6373;10814
570;25875;Cundinamarca;Villeta;26873;17985;8888
571;25878;Cundinamarca;Viotá;13234;4286;8948
572;25885;Cundinamarca;Yacopí;12322;2848;9474
573;25898;Cundinamarca;Zipacón;4659;1228;3431
574;25899;Cundinamarca;Zipaquirá;130537;106461;24076
575;27001;Chocó;Quibdó;129237;113124;16113
576;27006;Chocó;Acandí;13999;6895;7104
577;27025;Chocó;Alto Baudo;27584;3356;24228
578;27050;Chocó;Atrato;6063;2858;3205
579;27073;Chocó;Bagadó;11011;2589;8422
580;27075;Chocó;Bahía Solano;10123;6172;3951
581;27077;Chocó;Bajo Baudó;29957;7041;22916
582;27099;Chocó;Bojaya;12073;1158;10915
583;27135;Chocó;El Cantón del San Pablo;6116;2844;3272
584;27150;Chocó;Carmen del Darien;18433;2276;16157
585;27160;Chocó;Cértegui;5635;3321;2314
586;27205;Chocó;Condoto;12663;9696;2967
587;27245;Chocó;El Carmen de Atrato;8193;2510;5683
588;27250;Chocó;El Litoral del San Juan;21669;1843;19826
589;27361;Chocó;Istmina;30742;22258;8484
590;27372;Chocó;Juradó;6685;2511;4174
591;27413;Chocó;Lloró;9786;3376;6410
592;27425;Chocó;Medio Atrato;10672;944;9728
593;27430;Chocó;Medio Baudó;15109;2307;12802
594;27450;Chocó;Medio San Juan;10579;2622;7957
595;27491;Chocó;Nóvita;9153;3498;5655
596;27495;Chocó;Nuquí;16223;1685;14538
597;27580;Chocó;Río Iro;5467;1539;3928
598;27600;Chocó;Río Quito;8236;2335;5901
599;27615;Chocó;Riosucio;53449;14299;39150
600;27660;Chocó;San José del Palmar;5114;1355;3759
601;27745;Chocó;Sipí;3174;742;2432
602;27787;Chocó;Tadó;18011;10753;7258
603;27800;Chocó;Unguía;12854;4343;8511
604;27810;Chocó;Unión Panamericana;6816;2944;3872
605;41001;Huila;Neiva;357392;335994;21398
606;41006;Huila;Acevedo;24774;4640;20134
607;41013;Huila;Agrado;8800;5664;3136
608;41016;Huila;Aipe;16163;10553;5610
609;41020;Huila;Algeciras;22481;10806;11675
610;41026;Huila;Altamira;4275;2425;1850
611;41078;Huila;Baraya;8338;3975;4363
612;41132;Huila;Campoalegre;31087;23787;7300
613;41206;Huila;Colombia;7285;2205;5080
614;41244;Huila;Elías;4211;1439;2772
615;41298;Huila;Garzón;72382;38923;33459
616;41306;Huila;Gigante;24583;9766;14817
617;41319;Huila;Guadalupe;17890;5497;12393
618;41349;Huila;Hobo;7286;5639;1647
619;41357;Huila;Iquira;9248;2652;6596
620;41359;Huila;Isnos;25186;6148;19038
621;41378;Huila;La Argentina;12866;4796;8070
622;41396;Huila;La Plata;61026;25791;35235
623;41483;Huila;Nátaga;6469;2648;3821
624;41503;Huila;Oporapa;11629;2355;9274
625;41518;Huila;Paicol;6583;2775;3808
626;41524;Huila;Palermo;26279;12475;13804
627;41530;Huila;Palestina;11159;1755;9404
628;41548;Huila;Pital;13787;4892;8895
629;41551;Huila;Pitalito;124359;73319;51040
630;41615;Huila;Rivera;24312;11720;12592
631;41660;Huila;Saladoblanco;10444;1844;8600
632;41668;Huila;San Agustín;33028;11158;21870
633;41676;Huila;Santa María;10405;2527;7878
634;41770;Huila;Suaza;21853;4507;17346
635;41791;Huila;Tarqui;17440;5499;11941
636;41797;Huila;Tesalia;10697;5317;5380
637;41799;Huila;Tello;11800;5173;6627
638;41801;Huila;Teruel;8052;4270;3782
639;41807;Huila;Timaná;21799;7883;13916
640;41872;Huila;Villavieja;7288;2459;4829
641;41885;Huila;Yaguará;7730;6421;1309
642;44001;La Guajira;Riohacha;188014;126103;61911
643;44035;La Guajira;Albania;29148;15783;13365
644;44078;La Guajira;Barrancas;35743;15818;19925
645;44090;La Guajira;Dibulla;37740;4884;32856
646;44098;La Guajira;Distracción;13016;5871;7145
647;44110;La Guajira;El Molino;7185;6383;802
648;44279;La Guajira;Fonseca;42772;35754;7018
649;44378;La Guajira;Hatonuevo;20044;11905;8139
650;44420;La Guajira;La Jagua del Pilar;3498;2162;1336
651;44430;La Guajira;Maicao;170582;103354;67228
652;44560;La Guajira;Manaure;83072;8625;74447
653;44650;La Guajira;San Juan del Cesar;46953;30385;16568
654;44847;La Guajira;Uribia;163462;7698;155764
655;44855;La Guajira;Urumita;10985;9423;1562
656;44874;La Guajira;Villanueva;28346;26488;1858
657;47001;Magdalena;Santa Marta;499192;455299;43893
658;47030;Magdalena;Algarrobo;15511;10096;5415
659;47053;Magdalena;Aracataca;39857;23623;16234
660;47058;Magdalena;Ariguaní;30218;19075;11143
661;47161;Magdalena;Cerro San Antonio;9890;5365;4525
662;47170;Magdalena;Chivolo;21862;13782;8080
663;47189;Magdalena;Ciénaga;120071;104999;15072
664;47205;Magdalena;Concordia;10505;4177;6328
665;47245;Magdalena;El Banco;65457;41881;23576
666;47258;Magdalena;El Piñon;22530;7445;15085
667;47268;Magdalena;El Retén;19697;15549;4148
668;47288;Magdalena;Fundación;66433;56814;9619
669;47318;Magdalena;Guamal;26620;8437;18183
670;47460;Magdalena;Nueva Granada;19663;8132;11531
671;47541;Magdalena;Pedraza;9196;3017;6179
672;47545;Magdalena;Pijiño del Carmen;12093;5710;6383
673;47551;Magdalena;Pivijay;37341;21777;15564
674;47555;Magdalena;Plato;61766;47141;14625
675;47570;Magdalena;Puebloviejo;29824;9897;19927
676;47605;Magdalena;Remolino;11445;7375;4070
677;47660;Magdalena;Sabanas de San Angel;15644;4559;11085
678;47675;Magdalena;Salamina;10733;7151;3582
679;47692;Magdalena;San Sebastián de Buenavista;19523;6071;13452
680;47703;Magdalena;San Zenón;11681;1470;10211
681;47707;Magdalena;Santa Ana;25438;13851;11587
682;47720;Magdalena;Santa Bárbara de Pinto;10575;6616;3959
683;47745;Magdalena;Sitionuevo;27128;14239;12889
684;47798;Magdalena;Tenerife;13236;6511;6725
685;47960;Magdalena;Zapayán;9895;3846;6049
686;47980;Magdalena;Zona Bananera;68722;4415;64307
687;50001;Meta;Villavicencio;531275;492052;39223
688;50006;Meta;Acacías;88023;67906;20117
689;50110;Meta;Barranca de Upía;6440;4425;2015
690;50124;Meta;Cabuyaro;6062;2993;3069
691;50150;Meta;Castilla la Nueva;14300;6154;8146
692;50223;Meta;Cubarral;6963;4576;2387
693;50226;Meta;Cumaral;22831;15006;7825
694;50245;Meta;El Calvario;1776;590;1186
695;50251;Meta;El Castillo;7977;3020;4957
696;50270;Meta;El Dorado;3888;1412;2476
697;50287;Meta;Fuente de Oro;12129;6923;5206
698;50313;Meta;Granada;68876;58293;10583
699;50318;Meta;Guamal;14119;9609;4510
700;50325;Meta;Mapiripán;7007;2471;4536
701;50330;Meta;Mesetas;11159;4546;6613
702;50350;Meta;La Macarena;26890;4723;22167
703;50370;Meta;Uribe;9284;2128;7156
704;50400;Meta;Lejanías;11463;4823;6640
705;50450;Meta;Puerto Concordia;8390;3420;4970
706;50568;Meta;Puerto Gaitán;41513;20659;20854
707;50573;Meta;Puerto López;30399;18575;11824
708;50577;Meta;Puerto Lleras;10423;4087;6336
709;50590;Meta;Puerto Rico;13061;6439;6622
710;50606;Meta;Restrepo;18268;12190;6078
711;50680;Meta;San Carlos de Guaroa;12296;6300;5996
712;50683;Meta;San Juan de Arama;9118;4357;4761
713;50686;Meta;San Juanito;1307;672;635
714;50689;Meta;San Martín;26707;19458;7249
715;50711;Meta;Vistahermosa;17778;7254;10524
716;52001;Nariño;Pasto;392930;308095;84835
717;52019;Nariño;Albán;9642;2691;6951
718;52022;Nariño;Aldana;7392;1549;5843
719;52036;Nariño;Ancuyá;8801;2147;6654
720;52051;Nariño;Arboleda;8443;1172;7271
721;52079;Nariño;Barbacoas;55633;12075;43558
722;52083;Nariño;Belén;6322;3262;3060
723;52110;Nariño;Buesaco;23908;6552;17356
724;52203;Nariño;Colón;8526;1089;7437
725;52207;Nariño;Consaca;13784;2146;11638
726;52210;Nariño;Contadero;7270;1310;5960
727;52215;Nariño;Córdoba;15516;3081;12435
728;52224;Nariño;Cuaspud;9201;2708;6493
729;52227;Nariño;Cumbal;36864;6835;30029
730;52233;Nariño;Cumbitara;5948;1608;4340
731;52240;Nariño;Chachagüí;15354;4332;11022
732;52250;Nariño;El Charco;22505;7234;15271
733;52254;Nariño;El Peñol;7446;1340;6106
734;52256;Nariño;El Rosario;12280;1781;10499
735;52258;Nariño;El Tablón de Gómez;14342;1583;12759
736;52260;Nariño;El Tambo;14283;5251;9032
737;52287;Nariño;Funes;7222;3091;4131
738;52317;Nariño;Guachucal;19450;3071;16379
739;52320;Nariño;Guaitarilla;11582;4378;7204
740;52323;Nariño;Gualmatán;7057;2994;4063
741;52352;Nariño;Iles;7662;2133;5529
742;52354;Nariño;Imués;7657;1016;6641
743;52356;Nariño;Ipiales;116136;77343;38793
744;52378;Nariño;La Cruz;18754;8018;10736
745;52381;Nariño;La Florida;10104;1980;8124
746;52385;Nariño;La Llanada;6492;3156;3336
747;52390;Nariño;La Tola;7411;2928;4483
748;52399;Nariño;La Unión;31858;12793;19065
749;52405;Nariño;Leiva;9768;2967;6801
750;52411;Nariño;Linares;10236;2230;8006
751;52418;Nariño;Los Andes;9547;4376;5171
752;52427;Nariño;Magüi;24705;7325;17380
753;52435;Nariño;Mallama;8976;1218;7758
754;52473;Nariño;Mosquera;11984;5677;6307
755;52480;Nariño;Nariño;4364;2653;1711
756;52490;Nariño;Olaya Herrera;25358;10859;14499
757;52506;Nariño;Ospina;7105;1965;5140
758;52520;Nariño;Francisco Pizarro;14193;5423;8770
759;52540;Nariño;Policarpa;9897;2596;7301
760;52560;Nariño;Potosí;10414;2097;8317
761;52565;Nariño;Providencia;5572;1501;4071
762;52573;Nariño;Puerres;8581;3451;5130
763;52585;Nariño;Pupiales;17491;6192;11299
764;52612;Nariño;Ricaurte;19631;2399;17232
765;52621;Nariño;Roberto Payán;12667;3389;9278
766;52678;Nariño;Samaniego;29414;9462;19952
767;52683;Nariño;Sandoná;20773;10112;10661
768;52685;Nariño;San Bernardo;9202;2595;6607
769;52687;Nariño;San Lorenzo;18473;2180;16293
770;52693;Nariño;San Pablo;15389;4051;11338
771;52694;Nariño;San Pedro de Cartago;6843;849;5994
772;52696;Nariño;Santa Bárbara;13427;3608;9819
773;52699;Nariño;Santacruz;10796;1529;9267
774;52720;Nariño;Sapuyes;7346;1436;5910
775;52786;Nariño;Taminango;17854;3999;13855
776;52788;Nariño;Tangua;13507;2763;10744
777;52835;Nariño;San Andrés de Tumaco;253637;86320;167317
778;52838;Nariño;Túquerres;44729;17302;27427
779;52885;Nariño;Yacuanquer;10938;3326;7612
780;54001;Norte de Santander;Cúcuta;711715;685445;26270
781;54003;Norte de Santander;Abrego;31786;15896;15890
782;54051;Norte de Santander;Arboledas;9605;2207;7398
783;54099;Norte de Santander;Bochalema;8105;3038;5067
784;54109;Norte de Santander;Bucarasica;6248;502;5746
785;54125;Norte de Santander;Cácota;2781;913;1868
786;54128;Norte de Santander;Cachirá;10995;1772;9223
787;54172;Norte de Santander;Chinácota;17263;11083;6180
788;54174;Norte de Santander;Chitagá;11564;4331;7233
789;54206;Norte de Santander;Convención;18463;7417;11046
790;54223;Norte de Santander;Cucutilla;8095;1502;6593
791;54239;Norte de Santander;Durania;4541;2216;2325
792;54245;Norte de Santander;El Carmen;13144;2196;10948
793;54250;Norte de Santander;El Tarra;20093;8371;11722
794;54261;Norte de Santander;El Zulia;26700;16307;10393
795;54313;Norte de Santander;Gramalote;7295;2482;4813
796;54344;Norte de Santander;Hacarí;9998;1339;8659
797;54347;Norte de Santander;Herrán;6755;1204;5551
798;54377;Norte de Santander;Labateca;6268;1619;4649
799;54385;Norte de Santander;La Esperanza;11358;1660;9698
800;54398;Norte de Santander;La Playa;7582;851;6731
801;54405;Norte de Santander;Los Patios;89091;86266;2825
802;54418;Norte de Santander;Lourdes;3954;1831;2123
803;54480;Norte de Santander;Mutiscua;4163;796;3367
804;54498;Norte de Santander;Ocaña;118273;106159;12114
805;54518;Norte de Santander;Pamplona;50025;46013;4012
806;54520;Norte de Santander;Pamplonita;5402;1091;4311
807;54553;Norte de Santander;Puerto Santander;8502;7938;564
808;54599;Norte de Santander;Ragonvalia;5899;2874;3025
809;54660;Norte de Santander;Salazar;10205;3845;6360
810;54670;Norte de Santander;San Calixto;12011;2008;10003
811;54673;Norte de Santander;San Cayetano;6978;2288;4690
812;54680;Norte de Santander;Santiago;3361;1749;1612
813;54720;Norte de Santander;Sardinata;25142;9398;15744
814;54743;Norte de Santander;Silos;6162;871;5291
815;54800;Norte de Santander;Teorama;16193;2518;13675
816;54810;Norte de Santander;Tibú;53586;19627;33959
817;54820;Norte de Santander;Toledo;15440;5273;10167
818;54871;Norte de Santander;Villa Caro;4996;2179;2817
819;54874;Norte de Santander;Villa del Rosario;101952;98637;3315
820;63001;Quindio;Armenia;295208;287245;7963
821;63111;Quindio;Buenavista;3095;1212;1883
822;63130;Quindio;Calarca;72783;56505;16278
823;63190;Quindio;Circasia;28162;21025;7137
824;63212;Quindio;Córdoba;5642;3363;2279
825;63272;Quindio;Filandia;12066;6640;5426
826;63302;Quindio;Génova;7516;4269;3247
827;63401;Quindio;La Tebaida;33451;29752;3699
828;63470;Quindio;Montenegro;36751;30130;6621
829;63548;Quindio;Pijao;5219;2977;2242
830;63594;Quindio;Quimbaya;30751;24913;5838
831;63690;Quindio;Salento;9260;3879;5381
832;66001;Risaralda;Pereira;467269;385838;81431
833;66045;Risaralda;Apía;12406;5453;6953
834;66075;Risaralda;Balboa;6423;1518;4905
835;66088;Risaralda;Belén de Umbría;24690;12460;12230
836;66170;Risaralda;Dosquebradas;217178;204280;12898
837;66318;Risaralda;Guática;12158;3558;8600
838;66383;Risaralda;La Celia;7514;2881;4633
839;66400;Risaralda;La Virginia;27923;27189;734
840;66440;Risaralda;Marsella;16940;8521;8419
841;66456;Risaralda;Mistrató;16950;3892;13058
842;66572;Risaralda;Pueblo Rico;16156;2740;13416
843;66594;Risaralda;Quinchía;27292;7209;20083
844;66682;Risaralda;Santa Rosa de Cabal;77838;64297;13541
845;66687;Risaralda;Santuario;12664;6328;6336
846;68001;Santander;Bucaramanga;581130;570752;10378
847;68013;Santander;Aguada;1855;313;1542
848;68020;Santander;Albania;4129;597;3532
849;68051;Santander;Aratoca;8229;2380;5849
850;68077;Santander;Barbosa;31050;23249;7801
851;68079;Santander;Barichara;10486;3113;7373
852;68081;Santander;Barrancabermeja;203537;177272;26265
853;68092;Santander;Betulia;5941;1313;4628
854;68101;Santander;Bolívar;11287;1495;9792
855;68121;Santander;Cabrera;1937;395;1542
856;68132;Santander;California;2130;931;1199
857;68147;Santander;Capitanejo;5505;3452;2053
858;68152;Santander;Carcasí;4292;640;3652
859;68160;Santander;Cepitá;2015;517;1498
860;68162;Santander;Cerrito;6729;3329;3400
861;68167;Santander;Charalá;12270;7218;5052
862;68169;Santander;Charta;2888;716;2172
863;68176;Santander;Chima;2875;810;2065
864;68179;Santander;Chipatá;5075;637;4438
865;68190;Santander;Cimitarra;32947;13943;19004
866;68207;Santander;Concepción;5738;2780;2958
867;68209;Santander;Confines;3159;687;2472
868;68211;Santander;Contratación;3679;2798;881
869;68217;Santander;Coromoro;5015;723;4292
870;68229;Santander;Curití;12717;4577;8140
871;68235;Santander;El Carmen de Chucurí;20916;2821;18095
872;68245;Santander;El Guacamayo;2167;677;1490
873;68250;Santander;El Peñón;5279;712;4567
874;68255;Santander;El Playón;13713;7037;6676
875;68264;Santander;Encino;2552;526;2026
876;68266;Santander;Enciso;3461;849;2612
877;68271;Santander;Florián;5562;1218;4344
878;68276;Santander;Floridablanca;291935;280025;11910
879;68296;Santander;Galán;2886;812;2074
880;68298;Santander;Gambita;4021;653;3368
881;68307;Santander;Girón;160403;141107;19296
882;68318;Santander;Guaca;5916;1508;4408
883;68320;Santander;Guadalupe;4511;1693;2818
884;68322;Santander;Guapotá;2375;665;1710
885;68324;Santander;Guavatá;4230;1027;3203
886;68327;Santander;Güepsa;5114;3071;2043
887;68344;Santander;Hato;2328;657;1671
888;68368;Santander;Jesús María;3342;719;2623
889;68370;Santander;Jordán;1314;99;1215
890;68377;Santander;La Belleza;6198;1696;4502
891;68385;Santander;Landázuri;10384;3182;7202
892;68397;Santander;La Paz;4953;756;4197
893;68406;Santander;Lebríja;41835;22732;19103
894;68418;Santander;Los Santos;14106;1643;12463
895;68425;Santander;Macaravita;2171;280;1891
896;68432;Santander;Málaga;20945;18091;2854
897;68444;Santander;Matanza;4976;1445;3531
898;68464;Santander;Mogotes;10527;4135;6392
899;68468;Santander;Molagavita;4137;620;3517
900;68498;Santander;Ocamonte;5661;809;4852
901;68500;Santander;Oiba;10800;4791;6009
902;68502;Santander;Onzaga;4183;1232;2951
903;68522;Santander;Palmar;1361;467;894
904;68524;Santander;Palmas del Socorro;2535;779;1756
905;68533;Santander;Páramo;4654;1251;3403
906;68547;Santander;Piedecuesta;170625;139273;31352
907;68549;Santander;Pinchote;5162;1072;4090
908;68572;Santander;Puente Nacional;14654;5440;9214
909;68573;Santander;Puerto Parra;7640;2605;5035
910;68575;Santander;Puerto Wilches;32791;16175;16616
911;68615;Santander;Rionegro;26438;6338;20100
912;68655;Santander;Sabana de Torres;33055;22512;10543
913;68669;Santander;San Andrés;8683;3121;5562
914;68673;Santander;San Benito;2950;277;2673
915;68679;Santander;San Gil;56037;49050;6987
916;68682;Santander;San Joaquín;2241;819;1422
917;68684;Santander;San José de Miranda;4367;889;3478
918;68686;Santander;San Miguel;2531;629;1902
919;68689;Santander;San Vicente de Chucurí;33133;12288;20845
920;68705;Santander;Santa Bárbara;2401;265;2136
921;68720;Santander;Santa Helena del Opón;3389;768;2621
922;68745;Santander;Simacota;10042;2185;7857
923;68755;Santander;Socorro;32158;26232;5926
924;68770;Santander;Suaita;10031;2136;7895
925;68773;Santander;Sucre;7202;550;6652
926;68780;Santander;Suratá;3975;909;3066
927;68820;Santander;Tona;7373;538;6835
928;68855;Santander;Valle de San José;6084;2408;3676
929;68861;Santander;Vélez;24356;13159;11197
930;68867;Santander;Vetas;2114;729;1385
931;68872;Santander;Villanueva;7873;4564;3309
932;68895;Santander;Zapatoca;9466;6274;3192
933;70001;Sucre;Sincelejo;277773;249323;28450
934;70110;Sucre;Buenavista;10441;8317;2124
935;70124;Sucre;Caimito;15231;3821;11410
936;70204;Sucre;Coloso;8623;3832;4791
937;70215;Sucre;Corozal;67371;51372;15999
938;70221;Sucre;Coveñas;18250;10856;7394
939;70230;Sucre;Chalán;4466;2853;1613
940;70233;Sucre;El Roble;9944;4340;5604
941;70235;Sucre;Galeras;21982;11997;9985
942;70265;Sucre;Guaranda;17713;7122;10591
943;70400;Sucre;La Unión;12349;5934;6415
944;70418;Sucre;Los Palmitos;22880;11137;11743
945;70429;Sucre;Majagual;36650;10205;26445
946;70473;Sucre;Morroa;15061;9031;6030
947;70508;Sucre;Ovejas;22871;11409;11462
948;70523;Sucre;Palmito;14114;4905;9209
949;70670;Sucre;Sampués;46455;23452;23003
950;70678;Sucre;San Benito Abad;28673;5966;22707
951;70702;Sucre;San Juan de Betulia;13535;6907;6628
952;70708;Sucre;San Marcos;57672;32275;25397
953;70713;Sucre;San Onofre;49633;19008;30625
954;70717;Sucre;San Pedro;18590;12204;6386
955;70742;Sucre;San Luis de Sincé;30773;22672;8101
956;70771;Sucre;Sucre;29552;7205;22347
957;70820;Sucre;Santiago de Tolú;32922;26401;6521
958;70823;Sucre;Tolú Viejo;21339;6545;14794
959;73001;Tolima;Ibagué;529635;492554;37081
960;73024;Tolima;Alpujarra;4544;1991;2553
961;73026;Tolima;Alvarado;8697;3236;5461
962;73030;Tolima;Ambalema;6657;5261;1396
963;73043;Tolima;Anzoátegui;10217;1469;8748
964;73055;Tolima;Armero;12696;8184;4512
965;73067;Tolima;Ataco;19330;4820;14510
966;73124;Tolima;Cajamarca;18471;9461;9010
967;73148;Tolima;Carmen de Apicalá;10117;7627;2490
968;73152;Tolima;Casabianca;6373;1720;4653
969;73168;Tolima;Chaparral;50367;28615;21752
970;73200;Tolima;Coello;8248;1482;6766
971;73217;Tolima;Coyaima;22813;3836;18977
972;73226;Tolima;Cunday;8745;2397;6348
973;73236;Tolima;Dolores;8359;3503;4856
974;73268;Tolima;Espinal;70494;50664;19830
975;73270;Tolima;Falan;7693;1764;5929
976;73275;Tolima;Flandes;28389;24551;3838
977;73283;Tolima;Fresno;31069;15713;15356
978;73319;Tolima;Guamo;32940;16656;16284
979;73347;Tolima;Herveo;7363;2179;5184
980;73349;Tolima;Honda;24693;23658;1035
981;73352;Tolima;Icononzo;11887;3595;8292
982;73408;Tolima;Lérida;18574;13735;4839
983;73411;Tolima;Líbano;36773;23605;13168
984;73443;Tolima;Mariquita;37770;27907;9863
985;73449;Tolima;Melgar;36536;29749;6787
986;73461;Tolima;Murillo;4113;1758;2355
987;73483;Tolima;Natagaima;14835;7841;6994
988;73504;Tolima;Ortega;34607;6946;27661
989;73520;Tolima;Palocabildo;9730;3000;6730
990;73547;Tolima;Piedras;6711;2280;4431
991;73555;Tolima;Planadas;25764;6736;19028
992;73563;Tolima;Prado;8498;3745;4753
993;73585;Tolima;Purificación;23536;13186;10350
994;73616;Tolima;Rioblanco;22771;3724;19047
995;73622;Tolima;Roncesvalles;5459;1875;3584
996;73624;Tolima;Rovira;21674;10080;11594
997;73671;Tolima;Saldaña;14435;8502;5933
998;73675;Tolima;San Antonio;12896;4351;8545
999;73678;Tolima;San Luis;13553;3765;9788
1000;73686;Tolima;Santa Isabel;5769;2171;3598
1001;73770;Tolima;Suárez;3813;1539;2274
1002;73854;Tolima;Valle de San Juan;5345;2104;3241
1003;73861;Tolima;Venadillo;12817;8639;4178
1004;73870;Tolima;Villahermosa;9283;3364;5919
1005;73873;Tolima;Villarrica;5128;1968;3160
1006;76001;Valle del Cauca;Cali;2227642;2172527;55115
1007;76020;Valle del Cauca;Alcalá;14062;10398;3664
1008;76036;Valle del Cauca;Andalucía;22436;17413;5023
1009;76041;Valle del Cauca;Ansermanuevo;17448;10285;7163
1010;76054;Valle del Cauca;Argelia;5397;2852;2545
1011;76100;Valle del Cauca;Bolívar;16021;4414;11607
1012;76109;Valle del Cauca;Buenaventura;308188;235064;73124
1013;76111;Valle del Cauca;Guadalajara de Buga;127545;110905;16640
1014;76113;Valle del Cauca;Bugalagrande;24318;12670;11648
1015;76122;Valle del Cauca;Caicedonia;28825;23840;4985
1016;76126;Valle del Cauca;Calima;18054;11469;6585
1017;76130;Valle del Cauca;Candelaria;91825;23579;68246
1018;76147;Valle del Cauca;Cartago;135729;131641;4088
1019;76233;Valle del Cauca;Dagua;48443;10930;37513
1020;76243;Valle del Cauca;El Águila;8909;2407;6502
1021;76246;Valle del Cauca;El Cairo;6845;3198;3647
1022;76248;Valle del Cauca;El Cerrito;56470;35977;20493
1023;76250;Valle del Cauca;El Dovio;8886;5397;3489
1024;76275;Valle del Cauca;Florida;57374;40195;17179
1025;76306;Valle del Cauca;Ginebra;22741;10242;12499
1026;76318;Valle del Cauca;Guacarí;33191;20421;12770
1027;76364;Valle del Cauca;Jamundí;159877;123615;36262
1028;76377;Valle del Cauca;La Cumbre;16316;2901;13415
1029;76400;Valle del Cauca;La Unión;33953;26991;6962
1030;76403;Valle del Cauca;La Victoria;12174;9082;3092
1031;76497;Valle del Cauca;Obando;12312;8949;3363
1032;76520;Valle del Cauca;Palmira;349294;275254;74040
1033;76563;Valle del Cauca;Pradera;47615;41422;6193
1034;76606;Valle del Cauca;Restrepo;15307;10047;5260
1035;76616;Valle del Cauca;Riofrío;15554;7358;8196
1036;76622;Valle del Cauca;Roldanillo;36797;27626;9171
1037;76670;Valle del Cauca;San Pedro;16942;7571;9371
1038;76736;Valle del Cauca;Sevilla;42133;31816;10317
1039;76823;Valle del Cauca;Toro;14612;9968;4644
1040;76828;Valle del Cauca;Trujillo;19226;8857;10369
1041;76834;Valle del Cauca;Tuluá;212685;174951;37734
1042;76845;Valle del Cauca;Ulloa;5465;2549;2916
1043;76863;Valle del Cauca;Versalles;7263;4094;3169
1044;76869;Valle del Cauca;Vijes;12734;7899;4835
1045;76890;Valle del Cauca;Yotoco;16019;8326;7693
1046;76892;Valle del Cauca;Yumbo;107334;92630;14704
1047;76895;Valle del Cauca;Zarzal;41925;31812;10113
1048;81001;Arauca;Arauca;85585;74195;11390
1049;81065;Arauca;Arauquita;49841;13720;36121
1050;81220;Arauca;Cravo Norte;3925;2682;1243
1051;81300;Arauca;Fortul;18938;9886;9052
1052;81591;Arauca;Puerto Rondón;4399;2952;1447
1053;81736;Arauca;Saravena;55554;42415;13139
1054;81794;Arauca;Tame;43932;26784;17148
1055;85001;Casanare;Yopal;168433;143619;24814
1056;85010;Casanare;Aguazul;36915;26517;10398
1057;85015;Casanare;Chameza;2500;1499;1001
1058;85125;Casanare;Hato Corozal;12328;5167;7161
1059;85136;Casanare;La Salina;1417;636;781
1060;85139;Casanare;Maní;17211;11216;5995
1061;85162;Casanare;Monterrey;17537;12178;5359
1062;85225;Casanare;Nunchía;8826;1904;6922
1063;85230;Casanare;Orocué;12340;5376;6964
1064;85250;Casanare;Paz de Ariporo;36277;24933;11344
1065;85263;Casanare;Pore;11967;6822;5145
1066;85279;Casanare;Recetor;1634;312;1322
1067;85300;Casanare;Sabanalarga;3625;1781;1844
1068;85315;Casanare;Sácama;2090;1020;1070
